question,option_a,option_b,option_c,option_d,correct_answer
What is 18 × 15?,250,260,270,280,C
What is 3/4 of 60?,40,45,50,55,B
What is the area of a circle with radius 7 cm? (Use π=22/7),144 cm²,154 cm²,164 cm²,174 cm²,B
What is 25²?,525,625,725,825,B
What is the value of 2³ × 3²?,64,72,81,90,B
What is 0.6 as a fraction?,1/2,2/3,3/5,3/4,C
What is the perimeter of a rectangle 12 cm by 8 cm?,36 cm,38 cm,40 cm,42 cm,C
What is the LCM of 12 and 18?,36,48,54,72,A
What is 75% of 80?,50,60,70,75,B
What is the square root of 144?,10,11,12,13,C
