question,option_a,option_b,option_c,option_d,correct_answer
Which organ pumps blood in the body?,Lungs,Heart,Stomach,Brain,B
What is the process by which water changes from liquid to gas?,Condensation,Evaporation,Melting,Freezing,B
Which of these is a conductor of electricity?,Wood,Plastic,Rubber,Metal,D
What do we call the system of bones in the body?,Muscular system,Circulatory system,Skeletal system,Respiratory system,C
Which planet is known as the Red Planet?,Venus,Earth,Mars,Jupiter,C
What is the main function of leaves?,Absorb water,Make food,Anchor plant,Store food,B
What is a device that magnifies small objects?,Microscope,Telescope,Magnifier,Computer,A
Which gas do plants release during photosynthesis?,Carbon dioxide,Nitrogen,Oxygen,Hydrogen,C
What is the force that pulls objects to the ground?,Friction,Gravity,Magnetism,Heat,B
Which of these is an example of a lever?,Ramp,Wheelbarrow,Pulley,Screw,B
