question,option_a,option_b,option_c,option_d,correct_answer
What is 144 ÷ 12?,10,11,12,13,C
What is 25% of 80?,15,20,25,30,B
What is the area of a square with side 7 cm?,28 cm²,35 cm²,42 cm²,49 cm²,D
What is 3/5 as a decimal?,0.3,0.5,0.6,0.7,C
What is the LCM of 6 and 8?,12,18,24,30,C
What is 9 × 12?,108,109,110,111,A
What is the perimeter of a rectangle 10 cm by 6 cm?,28 cm,30 cm,32 cm,34 cm,C
Which number is divisible by 9?,45,46,47,48,A
What is 7² + 5?,50,52,54,56,C
What is the average of 10, 15, and 20?,14,15,16,17,B
