question,option_a,option_b,option_c,option_d,correct_answer
Which system transports blood in the body?,Respiratory,Skeletal,Circulatory,Digestive,C
What is the smallest unit of life?,Organ,Tissue,Cell,Organ system,C
Which material is an insulator?,Copper,Aluminum,Rubber,Iron,C
What is the process by which plants lose water vapor?,Photosynthesis,Transpiration,Respiration,Evaporation,B
Which planet has rings?,Jupiter,Mars,Saturn,Venus,C
What is a device that stores electrical energy?,Resistor,Capacitor,Battery,Switch,C
Which gas is most in the atmosphere?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,B
What is the main function of the roots?,Make food,Anchor plant and absorb water,Carry food,Produce flowers,B
Which simple machine is a ramp?,Lever,Pulley,Inclined plane,Wedge,C
What is the speed of light?,300 m/s,3,000 m/s,30,000 m/s,300,000 km/s,D
