term,definition
Multiplication,Repeated addition: 4 × 5 = 20
Division,Splitting into equal parts: 20 ÷ 4 = 5
Fraction,Part of a whole: 3/4 means 3 out of 4 parts
Decimal,A number with a point: 0.5, 1.25
Percentage,Out of 100: 50% means 50 out of 100
Perimeter,Distance around a shape: Add all sides
Area,Space inside a shape: Length × Width for rectangle
Circle,A round shape with center and radius
Triangle,3-sided shape
Square,4 equal sides and 4 right angles
Rectangle,4 sides, opposite sides equal
Pattern,Sequence that repeats: 🔵🔴🔵🔴
Place value,Value by position: Thousands, Hundreds, Tens, Ones
Even number,Divisible by 2: 2, 4, 6, 8...
Odd number,Not divisible by 2: 1, 3, 5, 7...
