term,definition
Allah,The one and only God in Islam
Quran,The holy book of Muslims
Prophet Muhammad,Final prophet of Islam
Salat,Prayer — done 5 times a day
Zakat,Charity — giving to the poor
Sawm,Fasting during Ramadan
Hajj,Pilgrimage to Makkah
Mosque,Place where Muslims pray
Imam,Person who leads prayer
Ramadan,Month of fasting
Eid al-Fitr,Festival after Ramadan
Qibla,Direction of prayer — towards Makkah
Angels,Beings created by Allah to carry out His commands
Prophet,Person sent by Allah to guide people
Shahada,Declaration of faith: "There is no god but Allah"
Jannah,Paradise — where good people go after death
