question,option_a,option_b,option_c,option_d,correct_answer
What is 169 ÷ 13?,11,12,13,14,C
What is 40% of 250?,80,90,100,110,C
What is the area of a triangle with base 10 cm and height 8 cm?,30 cm²,40 cm²,50 cm²,60 cm²,B
What is 7/8 as a decimal?,0.75,0.8,0.875,0.9,C
What is the HCF of 24 and 36?,6,8,10,12,D
What is 15²?,200,225,250,275,B
What is the perimeter of a circle with diameter 14 cm? (Use π=22/7),33 cm,44 cm,55 cm,66 cm,B
Which number is both square and cube?,16,25,36,64,D
What is 3² × 2³?,64,72,81,90,B
What is the average of 12, 18, 24, and 30?,20,21,22,23,B
