question,option_a,option_b,option_c,option_d,correct_answer
Which word is a synonym for 'enormous'?,Tiny,Small,Huge,Weak,C
What is the past participle of 'write'?,Wrote,Written,Writing,Writes,B
Which sentence is correct?,They has gone to school.,They have went to school.,They have gone to school.,They has been to school.,C
What is the plural of 'cactus'?,Cactus, Cactuses, Cacti, Cactuses or Cacti,D
Which word is an adverb?,Beautiful,Quickly,Brave,Color,B
What is the opposite of 'generous'?,Kind,Selfish,Giving,Helpful,B
Which punctuation ends a command?,.,!,?,;,B
What do we call a word that sounds like its meaning?,Synonym,Compound word,Onomatopoeia,Adjective,C
Which is a compound sentence?,I like apples.,I like apples and oranges.,Because I like apples.,Apples are red.,B
What is the object in: 'The teacher praised the students.'?,The teacher,praised,the students,students,D
