term,definition
Atom,Smallest particle of an element
Molecule,Two or more atoms joined together
Element,Substance made of one type of atom
Compound,Substance made of two or more elements chemically combined
Mixture,Substances mixed but not chemically joined
Solution,A mixture where one substance dissolves in another
Acid,Substance with pH less than 7: lemon juice, vinegar
Base,Substance with pH greater than 7: soap, baking soda
Neutral,pH 7: pure water
Circuit,Path through which electricity flows
Conductor,Metal that allows electricity to flow
Insulator,Material that stops electricity: rubber, plastic
Magnet,An object that attracts iron
Magnetic field,Area around a magnet where force is felt
Friction,Force that opposes motion
Gravity,Force that pulls objects to Earth
