term,definition
Linear equation,An equation like 2x + 5 = 11 — forms a straight line when graphed
Gradient,Slope of a line: how steep it is — rise over run
Coordinate,Pair of numbers (x, y) that shows position on a graph
Quadrant,One of four sections on a coordinate plane
Simultaneous equations,Two equations solved together to find x and y
Inequality,A math sentence with <, >, ≤, or ≥: 3x + 2 > 8
Factorization,Breaking down an expression: x² + 5x + 6 = (x + 2)(x + 3)
Index number,Power or exponent: in 2³, 3 is the index
Standard form,Writing big/small numbers as A × 10ⁿ: 3.2 × 10⁴
Pythagoras' Theorem,a² + b² = c² — for right-angled triangles
Hypotenuse,Longest side of a right-angled triangle
Circumference,Distance around a circle: C = πd
Area of circle,A = πr²
Volume of cube,V = s³
Surface area,Total area of all faces of a 3D shape
