term,definition
Creation,God made the world in six days — recorded in Genesis
Fall of man,Adam and Eve disobeyed God — brought sin into the world
Covenant,Promise between God and humans: with Abraham, Moses
Exodus,Israelites freed from Egypt by Moses
Ten Commandments,God’s laws for living righteously
Prophets,People sent by God to guide Israel: Isaiah, Jeremiah
Kingdom of God,God’s rule in hearts and the world
Salvation,Being saved from sin through Jesus’ death and resurrection
Grace,Unearned love and forgiveness from God
Faith,Trusting in God even when you can’t see Him
Baptism,Symbolic washing showing new life in Christ
Eucharist,Sharing bread and wine in memory of Jesus
Church,Community of believers — body of Christ
Disciples,Jesus’ 12 followers who spread the Gospel
Resurrection,Jesus rose from the dead — victory over death
