term,definition
Methali,Maneno yenye maana ya kufundisha: Haraka haraka haina baraka
Tashbihi,Kulinganisha kitu kimoja na kingine: Mwanamke ni mafuta
Sifa,Vipengele vinavyoelezea mtu: mwenye furaha, mwenye nguvu
Kinyume,Maneno yenye maana mbali: upendo na uchungu
Kisawe,Maneno yenye maana sawa: kubwa na mkubwa
Maelezo,Maneno yanayoelezea kitu: "nyumba ya kijani"
Kauli ya moja,Maneno yanayotumika moja kwa moja: "Ninakula"
Kauli ya pili,Maneno yanayotajwa: Alikwambia kuwa alikuwa amekula
Vishazi,Silabi za maneno: ku-sa-hi-li
Mizani,Misemo ya kimapokeo: "Hujambo?"
Kanuni,Masharti ya kiserikali: kauli, methali, vitendawili
Vitendawili,Swali zenye jibu la kichekesho: "Kitu kinachokwenda mbio lakini hakwai?"
Mipangilio,Maneno yanayopangwa kama wimbo
Ungwana,Mipangilio ya maneno yanayotumika kimsingi
Mipera,Misemo ya kimapokeo: "Asante kwa kusoma"
