term,definition
Algebra,Using letters like x or y to represent unknown numbers
Equation,A math sentence with an equals sign: 2x + 3 = 7
Variable,A symbol (like x) that stands for a number
Expression,Combination of numbers and variables: 3x + 5
Factor,A number that divides another evenly: 2 and 3 are factors of 6
Multiple,What you get when you multiply: multiples of 4 are 4, 8, 12...
Prime number,Only divisible by 1 and itself: 2, 3, 5, 7, 11
LCM,Least Common Multiple — smallest number multiples share
HCF,Highest Common Factor — largest number that divides all
Integers,Positive and negative whole numbers: -3, -2, -1, 0, 1, 2, 3
BODMAS,Order of operations: Brackets, Orders, Division, Multiplication, Addition, Subtraction
Perimeter,Total distance around a shape
Area,Space inside a 2D shape: A = L × W for rectangle
Volume,Space inside a 3D shape: V = L × W × H
Ratio,Comparison of two quantities: 2:3 means 2 parts to 3 parts
