term,definition
God,The creator and ruler of the universe
Bible,The holy book of Christians — Old and New Testaments
Jesus,Son of God who taught love, forgiveness, and salvation
Prayer,Personal communication with God
Ten Commandments,God's laws given to Moses on Mount Sinai
Faith,Belief in God without seeing Him
Love,Unconditional care and kindness for others
Forgiveness,Letting go of anger when someone repents
Sin,Disobedience to God's laws
Salvation,Being saved from sin through Jesus
Baptism,Being immersed in water as a sign of faith
Church,Community of believers and place of worship
Disciples,Followers of Jesus who spread His teachings
Parable,Simple story teaching a moral or spiritual lesson
Miracle,An extraordinary event showing God's power
Gospel,The good news about Jesus Christ
