term,definition
Devolution,System where power is shared between national and county governments
County,One of 47 regions in Kenya with its own government
Governor,Leader of a county government
National government,Run by the President and Parliament
Democracy,People choose leaders through voting
Citizenship,Being a legal member of a country
Human rights,Freedom and rights everyone should have
Rule of law,Everyone is equal under the law — no one is above it
Culture,Customs, beliefs, and traditions of a community
Heritage,What is passed down: language, music, history
Map,A drawing of land showing features
Scale,Shows how map distance compares to real distance
Compass rose,Shows directions: N, S, E, W
Artifact,An object from the past: tools, pots, weapons
Trade,Buying and selling goods locally or internationally
