term,definition
Multiplication,Repeated addition: 12 × 8 = 96
Division,Splitting into equal parts: 96 ÷ 8 = 12
Fraction,Part of a whole: 2/3 means 2 out of 3 parts
Decimal,A number with a point: 0.75, 2.5
Percentage,Out of 100: 80% = 80 out of 100
Perimeter,Distance around a shape: Add all sides
Area,Space inside a rectangle: Length × Width
Circle,Round shape with radius and diameter
Triangle,3-sided polygon
Square,4 equal sides and 4 right angles
Rectangle,4 sides, opposite sides equal
Pattern,Sequence that repeats: 🔵🔴🔵🔴
Place value,Value by position: Hundred Thousands, Ten Thousands, Thousands, Hundreds, Tens, Ones
Even number,Divisible by 2: 2, 4, 6, 8...
Odd number,Not divisible by 2: 1, 3, 5, 7...
