question,option_a,option_b,option_c,option_d,correct_answer
What is 144 ÷ 12?,10,11,12,13,C
What is 25% of 160?,30,35,40,45,C
What is the area of a triangle with base 12 cm and height 10 cm?,50 cm²,60 cm²,70 cm²,80 cm²,B
What is 0.75 as a fraction?,1/4,1/2,3/4,4/5,C
What is the value of 3³ + 2²?,27,29,31,33,C
What is the perimeter of a circle with diameter 14 cm? (Use π=22/7),33 cm,44 cm,55 cm,66 cm,B
What is the square root of 196?,12,13,14,15,C
What is 8² - 5²?,39,40,41,42,A
What is the LCM of 8 and 12?,16,24,36,48,B
What is 3/5 of 50?,20,25,30,35,C
