question,option_a,option_b,option_c,option_d,correct_answer
Ni sentensi gani sahihi?,Mimi ni wanafunzi.,Sisi ni mwanafunzi.,Mimi ni mwanafunzi.,Wewe ni wanafunzi.,C
Neno "kula" ni aina gani ya neno?,Nomino,Kitenzi,Kisawe,Kivumishi,B
Mwisho wa "mtu" ni lipi?,Watu,Vitu,Mahali,Pu,A
Ni nini maana ya "sherehe"?,Sadness,Happiness,Party,Silence,C
Ni mnyama yupi anayewapa ng'ombe?,Kondoo,Mbuzi,Ng'ombe,Kuku,C
Ni nini "maji" kwa Kiingereza?,Food,Water,Light,Air,B
Ni mchoro gani unaofanywa kwa kutumia rangi?,Uchoraji wa rangi,Uchoraji wa mkuki,Ukutani,Ukuta,A
Ni nini maana ya "barabara"?,Road,House,Market,School,A
Ni nini wakati ambao jua linapokuwa chini?,Usiku,Asubuhi,Mchana,Mazuri,A
Ni nini "meza" kwa Kiingereza?,Chair,Table,Door,Window,B
